iter	Passed	Remaining
672	16864	8193
673	16889	8168
674	16913	8143
675	16937	8117
676	16961	8092
677	16986	8067
678	17008	8040
679	17032	8015
680	17055	7989
681	17078	7963
682	17100	7936
683	17122	7910
684	17144	7883
685	17165	7857
686	17187	7830
687	17211	7805
688	17234	7779
689	17257	7753
690	17281	7727
691	17303	7701
692	17326	7675
693	17350	7650
694	17374	7624
695	17400	7600
696	17425	7575
697	17451	7550
698	17477	7525
699	17502	7501
700	17526	7475
701	17552	7451
702	17577	7426
703	17602	7400
704	17627	7376
705	17651	7350
706	17677	7325
707	17702	7301
708	17727	7276
709	17752	7250
710	17777	7225
711	17803	7201
712	17830	7177
713	17857	7153
714	17885	7129
715	17912	7104
716	17940	7080
717	17967	7056
718	17993	7032
719	18018	7007
720	18043	6982
721	18068	6957
722	18092	6931
723	18118	6906
724	18142	6881
725	18167	6856
726	18192	6831
727	18217	6806
728	18240	6780
729	18263	6755
730	18285	6728
731	18308	6702
732	18330	6676
733	18351	6650
734	18372	6624
735	18396	6598
736	18419	6572
737	18441	6547
738	18465	6521
739	18486	6495
740	18509	6469
741	18531	6443
742	18553	6417
743	18575	6391
744	18597	6365
745	18619	6339
746	18642	6313
747	18664	6288
748	18686	6262
749	18709	6236
750	18730	6210
751	18753	6184
752	18774	6158
753	18797	6132
754	18819	6107
755	18842	6081
756	18866	6056
757	18890	6030
758	18912	6005
759	18934	5979
760	18957	5953
761	18980	5928
762	19005	5903
763	19030	5878
764	19054	5853
765	19079	5828
766	19104	5803
767	19128	5778
768	19153	5753
769	19177	5728
770	19201	5703
771	19226	5678
772	19251	5653
773	19275	5628
774	19301	5603
775	19326	5578
776	19349	5553
777	19374	5528
778	19396	5502
779	19418	5477
780	19441	5451
781	19464	5426
782	19487	5400
783	19510	5375
784	19533	5349
785	19555	5324
786	19577	5298
787	19600	5273
788	19623	5247
789	19648	5223
790	19673	5198
791	19699	5173
792	19726	5149
793	19751	5124
794	19776	5099
795	19802	5075
796	19828	5050
797	19853	5025
798	19879	5001
799	19906	4976
800	19930	4951
801	19956	4926
802	19981	4901
803	20006	4877
804	20031	4852
805	20058	4828
806	20087	4803
807	20114	4779
808	20142	4755
809	20170	4731
810	20198	4707
811	20226	4683
812	20254	4658
813	20282	4634
814	20309	4610
815	20336	4585
816	20360	4560
817	20384	4535
818	20408	4510
819	20432	4485
820	20456	4460
821	20480	4434
822	20505	4410
823	20530	4385
824	20555	4360
825	20579	4335
826	20602	4309
827	20623	4284
828	20645	4258
829	20667	4233
830	20689	4207
831	20711	4182
832	20733	4156
833	20755	4131
834	20777	4105
835	20801	4080
836	20822	4055
837	20845	4029
838	20867	4004
839	20889	3978
840	20912	3953
841	20936	3928
842	20960	3903
843	20985	3878
844	21009	3853
845	21034	3828
846	21058	3803
847	21082	3778
848	21105	3753
849	21131	3729
850	21152	3703
851	21177	3678
852	21200	3653
853	21224	3628
854	21245	3603
855	21268	3577
856	21291	3552
857	21314	3527
858	21337	3502
859	21360	3477
860	21382	3452
861	21404	3426
862	21427	3401
863	21450	3376
864	21472	3351
865	21495	3326
866	21518	3301
867	21539	3275
868	21562	3250
869	21584	3225
870	21607	3200
871	21630	3175
872	21652	3149
873	21676	3124
874	21698	3099
875	21721	3074
876	21744	3049
877	21767	3024
878	21790	2999
879	21813	2974
880	21835	2949
881	21857	2924
882	21880	2899
883	21902	2874
884	21926	2849
885	21948	2824
886	21972	2799
887	21995	2774
888	22018	2749
889	22040	2724
890	22062	2699
891	22083	2673
892	22106	2648
893	22130	2624
894	22153	2599
895	22175	2573
896	22197	2548
897	22220	2523
898	22242	2498
899	22264	2473
900	22334	2454
901	22363	2429
902	22391	2405
903	22416	2380
904	22440	2355
905	22465	2330
906	22491	2306
907	22517	2281
908	22546	2257
909	22573	2232
910	22600	2207
911	22629	2183
912	22657	2159
913	22683	2134
914	22707	2109
915	22732	2084
916	22756	2059
917	22782	2035
918	22808	2010
919	22833	1985
920	22858	1960
921	22883	1935
922	22909	1911
923	22935	1886
924	22961	1861
925	22988	1837
926	23015	1812
927	23042	1787
928	23068	1763
929	23093	1738
930	23118	1713
931	23143	1688
932	23170	1663
933	23195	1639
934	23221	1614
935	23246	1589
936	23271	1564
937	23296	1539
938	23321	1515
939	23346	1490
940	23370	1465
941	23395	1440
942	23420	1415
